Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
54,Isaiah Briscoe\briscis01,PG,22,ORL,3,23,13.1,0.536,0.125,0.375,0,9.3,4.3,35.2,0,0,9.7,18.8,,0,0,0,0.064,,-1.5,-4.6,-6,0
55,Ryan Broekhoff\broekry01,SG,28,DAL,5,15,1.7,0.375,1,0,0,16,7.5,0,0,0,0,22.1,,0,0,0,-0.11,,-5.8,-9,-14.8,0
56,Malcolm Brogdon\brogdma01,SG,26,MIL,8,244,13.7,0.632,0.346,0.192,2.7,8.9,6.2,16,0.8,0.7,15.9,16.9,,0.4,0.4,0.8,0.159,,1.3,1.1,2.4,0.3
57,Dillon Brooks\brookdi01,SF,23,MEM,6,110,5.8,0.432,0.321,0.357,3,10.3,6.6,9.5,2.2,1.7,13.4,15.2,,-0.1,0.2,0.1,0.025,,-5.5,1.8,-3.6,0
58,MarShon Brooks\brookma01,SG,30,MEM,5,64,12,0.551,0.385,0.346,1.7,12.4,7,8.3,0.8,0,9.1,23.1,,0,0.1,0.1,0.071,,-2.6,-2.5,-5.1,-0.1
59,Bruce Brown\brownbr01,SG,22,DET,5,74,6.1,0.447,0.417,0.375,2.7,7.5,5,3.9,1.9,2.3,9.7,17.5,,-0.1,0.1,0,0.016,,-3.8,-0.1,-3.8,0
60,Jaylen Brown\brownja02,SG,22,BOS,8,204,7.8,0.451,0.373,0.28,4.8,9.3,7,9.7,0.9,1.2,9.7,19.6,,-0.2,0.4,0.2,0.054,,-3.3,1.4,-2,0
61,Lorenzo Brown\brownlo01,PG,28,TOR,7,64,6.1,0.391,0.435,0,1.7,10.6,6.4,15.7,2.2,2.5,17.9,18.3,,-0.1,0.1,-0.1,-0.038,,-5.2,1.6,-3.6,0
62,Sterling Brown\brownst02,SG,23,MIL,5,26,-2.5,0.25,0.375,0,8.5,23.3,16.8,4.6,0,0,27.3,17.4,,-0.1,0,-0.1,-0.144,,-10.9,0.1,-10.8,-0.1
63,Troy Brown\browntr01,SF,19,WAS,2,14,14.3,0.509,0.167,0.333,7.3,29.8,18.4,0,3.3,0,12.7,23.5,,0,0,0,0.027,,-7.6,-5.4,-13,0
64,Jalen Brunson\brunsja01,PG,22,DAL,8,139,5.2,0.422,0.458,0.083,0,9.5,4.5,11.9,1,0,9.1,16.3,,-0.1,0,-0.1,-0.038,,-5,-2.9,-7.9,-0.2
65,Thomas Bryant\bryanth01,C,21,WAS,2,20,18.2,0.458,0.333,0.417,20.4,15.6,18,8.3,0,0,6.6,31.7,,0,0,0,0.024,,-0.2,-6.3,-6.5,0
66,Reggie Bullock\bullore01,SG,27,DET,6,171,6.8,0.444,0.459,0.246,1.2,7.8,4.3,10.1,0.3,1,8.2,18,,-0.1,0.1,0,0.007,,-3,-1.8,-4.8,-0.1
67,Trey Burke\burketr01,PG,26,NYK,8,170,13.7,0.467,0.289,0.133,4.2,7.4,5.7,27.1,1.1,0,9.3,24,,0,0.1,0.1,0.035,,0.8,-2.6,-1.8,0
68,Alec Burks\burksal01,SG,27,UTA,5,55,17.1,0.58,0.381,0.524,0,14,7.2,13.3,1.7,1.4,7.2,21.4,,0.1,0.1,0.2,0.167,,0.2,0.1,0.2,0
69,Deonte Burton\burtode02,SG,25,OKC,3,13,6.5,0.417,0.333,0,0,8.2,3.9,0,0,6.3,0,18.2,,0,0,0,0.004,,-7.6,-1.3,-8.9,0
70,Jimmy Butler\butleji01,SG,29,MIN,6,202,27.1,0.629,0.275,0.407,5.2,11.4,8.3,15.6,4.2,3.1,7.7,23.5,,0.7,0.2,0.9,0.219,,6,1.3,7.3,0.5
71,Jose Calderon\caldejo01,PG,37,DET,4,42,11,0.597,0.7,0.2,2.4,7.9,5,6.6,2.3,2,8.4,11.8,,0.1,0.1,0.1,0.133,,0.4,0.9,1.3,0
72,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,8,163,5.9,0.488,0.429,0.333,0.7,9,4.8,2.1,0.8,0.5,9.4,13.2,,-0.1,0,0,-0.014,,-3.7,-3,-6.7,-0.2
73,Isaiah Canaan\canaais01,PG,27,PHO,6,153,7.2,0.504,0.524,0.143,2.1,14,7.8,18.3,1.2,0,21.2,16,,-0.1,0,-0.1,-0.037,,-3.2,-2,-5.1,-0.1
74,Clint Capela\capelca01,C,24,HOU,6,196,18.7,0.579,0,0.232,12.5,25.6,18.2,8.7,0.7,4.4,15.5,19.1,,0.2,0.1,0.3,0.076,,-2.5,1.6,-0.9,0.1
75,Vince Carter\cartevi01,SF,42,ATL,8,166,8.9,0.555,0.686,0.137,1.2,11.1,6.1,6.9,1.3,1.5,11.5,14.9,,0,0.1,0.1,0.032,,-3.1,-1.3,-4.4,-0.1
76,Wendell Carter\cartewe01,C,19,CHI,8,204,15.7,0.493,0.115,0.269,8.1,18.3,13.3,15.5,1.2,6,11.2,21,,0.1,0.1,0.2,0.041,,-2,2,0,0.1
77,Michael Carter-Williams\cartemi01,PG,27,HOU,6,91,9.2,0.425,0.286,0.4,2.1,10.8,5.9,21.8,3.1,3.4,16.3,22.4,,-0.2,0.1,-0.1,-0.059,,-5.7,0.9,-4.7,-0.1
78,Omri Casspi\casspom01,SF,30,MEM,5,73,17.8,0.615,0.318,0.5,3,18.6,10.7,16.4,2,0,6.9,17.7,,0.1,0.1,0.3,0.184,,0.7,0.6,1.3,0.1
79,Willie Cauley-Stein\caulewi01,C,25,SAC,9,267,20.7,0.573,0,0.31,9.3,20.6,15,11,1.9,1,7.1,21.8,,0.6,0.3,0.9,0.169,,1.6,-0.1,1.5,0.2
80,Tyson Chandler\chandty01,C,36,PHO,7,89,11.6,0.653,0,1.5,8.6,42.7,24.9,9.6,1.1,0.9,26,13.1,,0.1,0.1,0.1,0.071,,-4.4,0.4,-4.1,0
81,Marquese Chriss\chrisma01,PF,21,HOU,1,8,4.7,0.4,0.4,0,0,30.6,13.3,0,0,9.7,16.7,31.1,,0,0,0,-0.245,,-15.9,-3.7,-19.6,0
82,Gary Clark\clarkga01,PF,24,HOU,5,38,12.5,0.567,0.867,0,5,19.4,11.2,4.1,0,2,0,16.4,,0.1,0,0.1,0.09,,0.2,-3.5,-3.4,0
83,Ian Clark\clarkia01,SG,27,NOP,7,94,11.1,0.757,0.542,0.167,0,7,3.4,5.4,0.5,0,10.4,12.2,,0.2,0,0.2,0.092,,2.4,-3.3,-0.9,0
