Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
385,Ekpe Udoh\udohek01,C,31,UTA,5,30,7.5,0.758,,,3.9,18.4,11.3,12,0,5.2,43.1,6.5,,0,0,0.1,0.098,,-3.6,4.2,0.6,0
386,Tyler Ulis\ulisty01,PG,23,CHI,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.043,,-5.5,-0.7,-6.2,0
387,Jonas Valanciunas\valanjo01,C,26,TOR,8,146,27.4,0.606,0.128,0.346,15,25.2,20.4,10.7,1.3,2.8,8.2,28.1,,0.6,0.3,0.8,0.275,,3.6,0.6,4.1,0.2
388,Fred VanVleet\vanvlfr01,PG,24,TOR,4,99,13,0.481,0.372,0.256,2.2,9.8,6.2,28.8,0.5,0,9.5,22.4,,0.1,0.1,0.2,0.077,,0,-2.2,-2.2,0
389,Noah Vonleh\vonleno01,PF,23,NYK,8,169,22.6,0.653,0.128,0.718,12.1,32.7,21.8,14.5,1.7,4.2,14.9,15,,0.5,0.3,0.8,0.227,,2.4,4.3,6.7,0.4
390,Nikola Vucevic\vucevni01,C,28,ORL,7,201,28.1,0.639,0.118,0.215,10.6,28.1,18.7,28.3,2.4,2.9,14.3,24.8,,0.6,0.3,0.9,0.212,,6,4.3,10.3,0.6
391,Dwyane Wade\wadedw01,SG,37,MIA,7,176,13.2,0.525,0.358,0.185,6.4,11.7,9.1,18.7,0.8,1.4,16.3,24,,0,0.1,0.2,0.048,,0.2,0.3,0.5,0.1
392,Kemba Walker\walkeke02,PG,28,CHO,9,302,27.3,0.607,0.497,0.293,1.4,12.1,6.7,31,1.1,0.9,7.3,32.8,,1.2,0.2,1.5,0.234,,10.2,-2.7,7.5,0.7
393,John Wall\walljo01,PG,28,WAS,7,237,18.8,0.523,0.271,0.415,2.6,7.5,5,36.3,3.1,3,16.2,29.3,,0,0.1,0.1,0.03,,1.2,0.1,1.3,0.2
394,Tyrone Wallace\wallaty01,PG,24,LAC,5,15,2.8,0.425,0,0.4,0,6.5,3.5,9.3,0,0,14.5,19.2,,0,0,0,-0.086,,-6.9,-3.6,-10.5,0
395,Taurean Waller-Prince\princta02,SF,24,ATL,8,230,9.6,0.516,0.491,0.209,0.9,17.9,9.3,17.7,2.1,0.7,20.5,26.7,,-0.5,0.2,-0.2,-0.048,,-4.8,-0.9,-5.7,-0.2
396,Brad Wanamaker\wanambr01,PG,29,BOS,2,6,20.3,0.615,0.25,0.5,0,16.6,8.2,0,0,0,17,42,,0,0,0,0.067,,-6.1,-8.1,-14.2,0
397,T.J. Warren\warretj01,SF,25,PHO,7,175,19.4,0.611,0.291,0.151,5,11.5,8.1,10.6,1.1,2.3,8,24.7,,0.3,0,0.3,0.092,,2,-2.7,-0.6,0.1
398,Yuta Watanabe\watanyu01,SG,24,MEM,1,5,11.8,1.136,,,0,45.4,22.4,0,0,0,53.2,16.8,,0,0,0,0.131,,-11.3,-4.5,-15.7,0
399,Thomas Welsh\welshth01,C,22,DEN,3,7,4.8,0,1,0,0,30.6,15.4,33.1,0,0,0,6,,0,0,0,0.044,,-6.8,1.4,-5.4,0
400,Russell Westbrook\westbru01,PG,30,OKC,5,169,23.4,0.526,0.162,0.381,4,25.7,14.3,45.1,2.7,0.5,15.2,33.7,,0.1,0.3,0.4,0.12,,3.8,3.7,7.5,0.4
401,Hassan Whiteside\whiteha01,C,29,MIA,7,207,18.3,0.519,0.042,0.535,12.9,41.3,27.1,0,0.7,8.3,14.6,20.1,,0,0.5,0.5,0.108,,-7.5,0,-7.5,-0.3
402,Andrew Wiggins\wiggian01,SF,23,MIN,5,147,14.4,0.543,0.309,0.25,2.1,10.7,6.4,9.3,2.2,0.5,9.6,23.2,,0.1,0,0.1,0.046,,-0.2,-2.7,-3,0
403,C.J. Williams\willicj01,SG,28,MIN,3,19,-8.3,0.333,0.667,0,0,0,0,0,0,0,40,10.7,,-0.1,0,-0.1,-0.224,,-8.6,-3.5,-12.1,0
404,Johnathan Williams\willijo04,C,23,LAL,6,85,11,0.542,0,0.263,13.7,12.3,13,5.6,0.5,2.7,8.6,11.1,,0.1,0,0.2,0.09,,-0.7,-0.9,-1.6,0
405,Kenrich Williams\willike04,SF,24,NOP,3,18,6.2,0.625,0.5,0,0,18.3,8.9,0,0,0,0,8.9,,0,0,0,0.045,,-2.3,-4.8,-7.1,0
406,Lou Williams\willilo02,SG,32,LAC,8,193,18.3,0.579,0.324,0.4,1.8,7.1,4.6,19.6,1.2,0.4,15.1,31.5,,0.2,0.2,0.4,0.088,,2,-3.5,-1.6,0
407,Marvin Williams\willima02,PF,32,CHO,9,207,9.4,0.43,0.547,0.125,4,17.7,10.8,5.7,0.9,5.5,6.9,14.9,,-0.1,0.3,0.1,0.029,,-2.8,1.7,-1.1,0
408,Robert Williams\williro04,C,21,BOS,4,12,24.2,1,0,0,16.2,0,8.2,11.9,0,20.9,0,3.6,,0,0,0.1,0.343,,2.3,13,15.3,0.1
409,Troy Williams\willitr02,SF,24,SAC,2,46,12.5,0.75,0.6,0,0,13.3,6.7,2.6,1,3.7,0,8.9,,0.1,0,0.1,0.152,,1.6,0,1.6,0
410,Justise Winslow\winslju01,PF,22,MIA,3,73,11.8,0.416,0.208,0.458,5.6,12.7,9.2,15.2,3.2,2.2,9.4,17.6,,0,0.1,0.1,0.06,,-2.2,3.6,1.4,0.1
411,Christian Wood\woodch01,PF,23,MIL,3,15,4.6,0.521,0.5,1,0,17.3,9.7,0,0,0,14.8,18.5,,0,0,0,0.047,,-6.5,-3.7,-10.2,0
412,Delon Wright\wrighde01,PG,26,TOR,3,32,7.6,0.37,0.214,0.143,3.4,15.2,9.7,7.9,1.5,2.5,0,19.5,,0,0,0,0.019,,-5.4,0.4,-4.9,0
413,Guerschon Yabusele\yabusgu01,PF,23,BOS,5,18,7.5,0.333,0.5,0,10.8,16.6,13.7,0,0,4.6,0,14.3,,0,0,0,0.051,,-7,-0.8,-7.8,0
414,Thaddeus Young\youngth01,PF,30,IND,8,243,15,0.566,0.125,0.208,5.9,12.2,9.1,6.1,2.7,1.8,8.2,15.7,,0.3,0.4,0.7,0.132,,0.4,2.4,2.8,0.3
415,Trae Young\youngtr01,PG,20,ATL,8,248,14.4,0.546,0.407,0.339,1.2,8.3,4.7,36.7,0.7,0.7,17.6,27,,0.1,0.1,0.2,0.032,,-0.9,-4,-4.9,-0.2
416,Cody Zeller\zelleco01,C,26,CHO,9,204,18,0.673,0.057,0.34,9.7,18.4,14,11,1.2,2.6,15.3,15,,0.5,0.2,0.8,0.183,,2,1.4,3.4,0.3
417,Ante Zizic\zizican01,C,22,CLE,7,43,22,0.622,0,0.857,14.8,20.2,17.3,14.4,1.1,0,13.5,21.8,,0.1,0,0.1,0.154,,2.7,-3.4,-0.7,0
418,Ivica Zubac\zubaciv01,C,21,LAL,2,7,1.1,0,0,0,30.3,14.9,22.6,14.7,0,10.9,0,11.6,,0,0,0,-0.025,,-4.8,4.7,-0.1,0
